ENERGIA|RASVA|KERTATYYDYTTYMATTOMAT|MONITYYDYTTYMATTOMAT|N3|LINOLI|ALFALINOLEENI|PROTEIINI|DHA|KUITU|A|B1|B2|B3|B6|B9|B12|C|D|E|CA|P|K|MG|FE|ZN|I|SE|OSOITE
Kaura|Kauraa|1599|7.2|2.7|2.7|0.0|2619|90|13.6|0|10.0|0|0.33|0.09|0.8|0.13|43.6|0|0|0|0.8|47.0|471.0|414.0|142.0|4.7|3.6|20.0|12.0|kotimaista-1kg-kaurahiutale/6415712000813
Kevytmaito|Kevytmaitoa|191|1.5|0.4|0.0|0.0|21|5|3.0|0|0|12.9|0.04|0.18|0.1|0.05|4.2|0.4|1.1|1.0|0.0|120.0|90.0|150.0|11.0|0.0|0.4|13.8|2.8|kotimaista-kevytmaito-1l/6415712506056
Kirjolohi|Kirjolohta|415|6.2|2.7|1.7|1.3|305|58|10.9|754|0|14.6|0.07|0.06|5.5|0.31|7.0|3.2|0|5.1|0.9|84.5|169.0|273.0|16.2|0.3|0.3|16.2|8.8|kirjolohi-tuore-kokonainen-palvelu/2003604300000
Kukkakaali|Kukkakaalia|102|0.2|0.0|0.1|0.1|36|105|2.0|0|2.2|0.9|0.10|0.06|0.6|0.15|85.9|0|51.8|0|0.0|28.0|44.0|330.0|16.0|0.5|0.2|1.0|10.0|rainbow-kukkakaali-450-g/6414893180826
Kurkku|Kurkkua|47|0.1|0.0|0.0|0.0|15|26|0.7|0|0.7|11.2|0.04|0.09|0.2|0.04|9.7|0|8.0|0|0.0|14.7|29.3|221.8|8.8|0.2|0.0|1.0|0.5|kurkku-suomi/2000604700007
Lanttu|Lanttua|146|0.1|0.0|0.0|0.0|19|47|1.1|0|2.9|0.1|0.06|0.06|1.2|0.12|50.1|0|45.6|0|0|42.0|41.0|350.0|12.0|0.2|0.1|1.0|10.0|lanttu-irto/2000605200001
Laktoositon kevytmaito|Laktoositonta kevytmaitoa|162|1.5|0.4|0.0|0.0|21|5|3.3|0|0|17.0|0.04|0.18|0.1|0.05|4.2|0.4|1.1|1.0|0.0|120.0|90.0|150.0|11.0|0.0|0.4|13.8|2.8|kotimaista-laktoositon-kevytmaitojuoma-1-l/6414893385672
Laktoositon rasvaton maito|Laktoositonta rasvatonta maitoa|115|0.1|0.0|0.0|0.0|3|0.0|3.3|0|0|0.8|0.03|0.19|0.1|0.05|4.2|0.4|1.2|1.0|0.0|121.0|90.0|160.0|12.0|0.0|0.4|15.0|2.8|kotimaista-1l-laktoositon-rasvaton-maitojuoma/6414893385658
Maapähkinä|Maapähkinöitä|2307|43.0|17.2|11.6|0.0|11601|20|25.6|0|8.5|0.2|0.90|0.12|13.8|0.13|110.0|0|0|0|10.9|78.0|330.0|670.0|180.0|2.9|3.1|5.0|3.0|rainbow-maapahkinat-natural-1-kg/7340011452362
Maissi|Maissia|563|1.4|0.3|0.6|0.0|605|31|2.8|0|3.7|7.0|0.15|0.08|1.9|0.22|41.0|0|12.0|0|0.0|2.0|89.0|270.0|37.0|0.5|0|0|0.4|maissi-pakaste-650g/7340011416401
Mandariini|Mandariinia|152|0.2|0.0|0.0|0.0|25|22|0.5|0|1.5|16.7|0.06|0.03|0.3|0.07|16.8|0|32.8|0|0.3|29.6|12.8|120.0|10.4|0.2|0.0|0.8|0.0|mandariini-nadorcott-i-espanja/2008816500002
Margariini|Margariinia|1486|40.0|17.8|8.7|2.8|5947|2779|0.3|0|0|800.0|0|0|0|0|0|0|0|10.0|7.0|13.6|2.6|12.1|2.1|0.0|0.0|0.0|0.0|rainbow-margariini-40--kevyt-400-g/6414893012318
Meetvursti|Meetvurstia|1556|31.6|14.4|4.0|0.6|3120|487|22.3|0|0|11.9|0.40|0.18|5.6|0.51|6.5|1.4|0|0.3|0.6|21.7|213.2|392.2|34.6|2.2|2.9|4.2|17.0|huhtah-meetvurstin-1kg-kantapala/2390519800009
Kananmuna|Kananmunaa|494|8.1|3.2|1.1|0.2|842|58|11.1|94|0|231.6|0.10|0.33|0.0|0.12|51.3|2.2|0|1.9|1.6|50.2|184.8|114.4|11.4|1.5|1.2|37.2|29.0|x-tra-virike-kananmuna-m15-870g/6414891802478
Mustaherukka|Mustaherukkaa|310|1.1|0.0|0.0|0.0|45|27|1.4|0|5.8|8.2|0.04|0.02|0.3|0.08|14.2|0|128.0|0|2.2|72.0|58.0|340.0|24.0|1.2|0.3|1.0|0.1|pakkasmarja-200g-100--kotimainen-mustaherukka/6411810000991
Mustikka|Mustikkaa|257|0.3|0.0|0.2|0.1|123|117|0.3|0|3.3|3.9|0.13|0.01|0.4|0.06|11.2|0|15.6|0|1.9|6.7|9.8|71.0|4.9|0.8|0.0|1.0|10.0|rainbow-mustikat-200-g/6414893101005
Nakki|Nakkia|976|18.2|7.7|2.1|0.2|1771|148|11.3|5|0.0|6.2|0.38|0.12|2.9|0.25|2.0|0.6|0|0.2|0.3|17.5|111.7|203.7|16.5|0.8|1.4|2.2|10.3|x-tra-grillinakki-900-g/6415712901271
Nauris|Naurista|89|0.1|0.0|0.0|0.0|24|72|1.2|0|2.7|6.0|0.06|0.06|1.2|0.08|14.0|0|22.9|0|0|33.0|34.0|180.0|17.0|0.1|0.2|1.0|10.0|nauris-irto/2000606600008
Omena|Omenaa|163|0.0|0.0|0.0|0.0|21|4|0.2|0|1.6|3.2|0.01|0.01|0.0|0.04|2.5|0|3.5|0|0.2|3.5|7.8|104.4|3.5|0.0|0.0|1.0|0.0|omena-ida-red/2000519200005
Päärynä|Päärynää|159|0.0|0.0|0.0|0.0|33|8|0.3|0|3.4|1.4|0.0|0.03|0.3|0.02|1.8|0|5.3|0|0.0|9.7|11.4|132.0|6.2|0.2|0.0|0.9|0.9|paarynarasia/6414890440176
Paprika|Paprikaa|119|0.3|0.0|0.0|0.0|45|25|0.9|0|1.9|243.8|0.04|0.12|1.3|0.45|55.9|0|184.8|0|2.2|9.0|30.0|290.0|14.0|0.6|0.1|1.0|0.2|paprika-punainen-irto/2000631800008
Parsakaali|Parsakaalia|146|0.5|0.0|0.2|0.1|57|135|3.9|0|3.5|86.0|0.10|0.20|0.9|0.11|113.0|0|65.1|0|0.7|30.0|81.0|390.0|20.0|0.7|0.5|1.0|10.0|rainbow-parsakaali-450-g/6414893108165
Persilja|Persiljaa|114|0.2|0.0|0.0|0.0|32|64|1.4|0|8.0|468.7|0.05|0.30|1.7|0.11|170.0|0|200.0|0|3.6|135.0|70.0|770.0|44.0|2.9|1.5|6.0|0.2|persilja-ruukussa/6414893388222
Peruna|Perunaa|315|0.1|0.0|0.0|0.0|35|29|1.9|0|1.0|0.6|0.21|0.03|0.6|0.12|23.2|0|10.0|0|0.0|5.6|45.0|500.0|24.0|0.7|0.3|1.0|0.6|kotimaista-suomalainen-yleisperuna-5-kg/6414894500081
Pinaatti|Pinaattia|56|0.3|0.0|0.2|0.1|26|137|1.6|0|1.3|275.2|0.11|0.24|1.2|0.22|194.0|0|60.0|0|1.2|88.0|30.0|470.0|59.0|1.3|0.9|1.0|0.3|rainbow-hienonnettu-pinaatti-150-g/6414893132986
Porkkana|Porkkanaa|137|0.2|0.0|0.1|0.0|106|9|0.6|0|2.5|774.1|0.07|0.07|0.8|0.03|16.4|0|6.5|0|0.4|29.0|40.0|390.0|14.0|0.5|0.4|1.0|0.2|porkkana-paikallinen/2000567200002
Punajuuri|Punajuurta|186|0.1|0.0|0.2|0.0|131|22|1.4|0|2.5|0.6|0.03|0.05|0.2|0.05|150.0|0|3.0|0|0.0|11.0|32.0|320.0|15.0|0.2|0.3|1.0|10.0|punajuuri-irto-10-kg-i--suomi/2000610900002
Puolukka|Puolukkaa|234|0.7|0.0|0.3|0.1|125|143|0.5|0|2.6|0.8|0.06|0.0|0.5|0.0|19.6|0|10.7|0|1.5|22.0|17.0|80.0|9.0|0.4|0.2|1.0|0.1|rainbow-puolukat-200-g/6414893182745
Raejuusto|Raejuustoa|385|2.0|0.5|0.0|0.0|26|12|15.8|0|0|20.8|0.03|0.22|0.1|0.06|27.0|0.7|0|0.0|0.0|70.0|200.0|100.0|9.0|0.1|1.4|17.0|12.2|x-tra-raejuusto-3-5----300-g/7340011427698
Rasvaton maito|Rasvatonta maitoa|142|0.1|0.0|0.0|0.0|3|0.0|3.1|0|0|0.8|0.03|0.19|0.1|0.05|4.2|0.4|1.2|1.0|0.0|121.0|90.0|160.0|12.0|0.0|0.4|13.8|2.8|valio-hyva-suomalainen-arki-rasvaton-maitojuoma-1-75-l/6408430000623
Riisi|Riisiä|391|0.2|0.0|0.0|0.0|30|0.0|1.6|0|0.6|0|0.01|0.0|0.4|0.02|3.8|0|0|0|0.0|3.8|30.0|35.5|9.3|0.3|0.4|1.4|4.1|xtra-2kg-pitkajyvainen-riisi/7340011465751
Ruis|Ruista|1355|1.9|0.3|0.9|0.1|775|118|9.6|0|13.9|0.5|0.31|0.16|0.2|0.17|38.0|0|0|0|1.0|33.0|312.0|445.0|97.0|3.3|2.9|5.0|5.0|rainbow-ruisjauho-1-kg/6415712000226
Rapsiöljy|Rapsiöljyä|3700|100.0|58.4|33.0|10.9|22080|10876|0|0|0|0|0|0|0|0|0|0|0|0|18.9|0|0|0|0|0|0|0|0|x-tra-rapsioljy-1-l/7340011340188
Silakka|Silakkaa|474|6.0|2.0|2.0|1.4|277|125|14.8|606|0|7.8|0.0|0.02|2.6|0.22|13.5|13.0|0|17.0|2.0|71.0|200.0|270.0|22.0|0.6|1.7|0.0|27.1|hatala-300g-suolasilakka/6408790007058
Sipuli|Sipulia|123|0.1|0.0|0.0|0.0|46|3|1.2|0|1.7|0.6|0.03|0.02|0.1|0.13|13.5|0|10.2|0|0.0|33.0|40.0|220.0|11.0|0.5|0.4|1.0|0.5|sipuli/2005166600000
Tomaatti|Tomaattia|95|0.3|0.0|0.0|0.0|83|7|0.6|0|1.4|66.8|0.06|0.04|0.7|0.08|11.6|0|14.1|0|0.7|8.6|25.9|237.1|8.3|0.2|0.0|1.0|0.5|rainbow-paseerattu-tomaatti-500-g/6415712601713
Vehnä|Vehnää|1541|1.6|0.2|0.7|0.0|638|39|11.6|0|3.5|0.4|0.08|0.05|0.9|0.10|18.0|0|0|0|0.4|19.0|116.0|155.0|29.0|0.9|0.8|10.0|10.0|x-tra-vehnajauho-2-kg/7340011343431
Viili|Viiliä|153|1.0|0.2|0.0|0.0|12|4|3.1|0|0|8.3|0.04|0.20|0.1|0.05|5.8|0.2|1.0|0.0|0.0|120.0|0.0|0.0|0.0|0.0|0.4|17.0|2.8|rainbow-viili-1---200-g/6414893148925
Voi|Voita3042|81.3|19.4|2.6|0.4|1040|360|1.2|0|0|706.3|0|0.03|0|0|3.0|0|0|0.3|1.5|24.0|34.0|18.0|2.6|0.2|0.0|3.0|0.5|valio-voi-500-g-normaalisuolainen/6408430030002
